DATE,CPIAUCSL,INDPRO,DGS3MO,WTISPLC_PCH,USD3MTD156N,HOUST_PCH
1962-02-01,30.11,25.8097,.,0.00000,.,-6.09846
1962-03-01,30.17,25.9482,.,0.00000,.,12.91080
1962-04-01,30.21,26.0035,.,0.00000,.,5.61331
1962-05-01,30.24,25.9758,.,0.00000,.,-2.69029
1962-06-01,30.21,25.9205,.,0.00000,.,-5.32704
1962-07-01,30.22,26.1697,.,0.00000,.,3.27635
1962-08-01,30.28,26.1974,.,0.00000,.,4.62069
1962-09-01,30.42,26.3635,.,0.00000,.,-12.72248
1962-10-01,30.38,26.3912,.,0.00000,.,15.78550
1962-11-01,30.38,26.5020,.,0.00000,.,5.80561
1962-12-01,30.38,26.5020,.,0.00000,.,-3.57583
1963-01-01,30.44,26.6958,.,0.00000,.,-20.46036
1963-02-01,30.48,27.0005,.,0.00000,.,17.04180
1963-03-01,30.51,27.1666,.,0.00000,.,5.35714
1963-04-01,30.48,27.4159,.,0.00000,.,10.10430
1963-05-01,30.51,27.7482,.,0.00000,.,-2.84192
1963-06-01,30.61,27.8313,.,0.00000,.,-3.22974
1963-07-01,30.69,27.7205,.,0.00000,.,1.63728
1963-08-01,30.75,27.7759,.,0.00000,.,1.54895
1963-09-01,30.72,28.0528,.,0.00000,.,7.56559
1963-10-01,30.75,28.2466,.,0.00000,.,0.90754
1963-11-01,30.78,28.3851,.,0.00000,.,-8.82518
1963-12-01,30.88,28.3297,.,0.00000,.,-8.07645
1964-01-01,30.94,28.5790,.,0.00000,.,7.51174
1964-02-01,30.91,28.7728,.,0.00000,.,13.53712
1964-03-01,30.94,28.7728,.,0.00000,.,-16.64835
1964-04-01,30.95,29.2436,.,0.00000,.,-4.54845
1964-05-01,30.98,29.4098,.,0.00000,.,1.31215
1964-06-01,31.01,29.4928,.,0.00000,.,5.65781
1964-07-01,31.02,29.6867,.,-1.68350,.,0.77419
1964-08-01,31.05,29.8805,.,0.00000,.,0.44814
1964-09-01,31.08,29.9913,.,0.00000,.,-7.26577
1964-10-01,31.12,29.5759,.,0.00000,.,4.74227
1964-11-01,31.21,30.4898,.,0.00000,.,-2.49344
1964-12-01,31.25,30.8498,.,0.00000,.,-0.13459
1965-01-01,31.28,31.1821,.,0.00000,.,-8.28841
1965-02-01,31.28,31.3760,.,0.00000,.,5.29023
1965-03-01,31.31,31.7913,.,0.00000,.,-0.69784
1965-04-01,31.38,31.9298,.,0.00000,.,1.05411
1965-05-01,31.48,32.1790,.,0.00000,.,2.78164
1965-06-01,31.61,32.4283,.,0.00000,.,0.67659
1965-07-01,31.58,32.7329,.,0.00000,.,2.75538
